Rank,2017 final AP poll,2017 Record,2016 final AP poll,2016 Record,2015 final AP poll,2015 Record,2014 final AP poll,2014 Record,2013 final AP poll,2013 Record,2012 final AP poll,2012 Record,2011 final AP poll,2011 Record,2010 final AP poll,2010 Record,2009 final AP poll,Record,2008 final AP poll,Record,2007 final AP poll,Record,2006 final AP poll,Record,2005 final AP poll,Record,2004 final AP poll,Record,2003 final AP poll,Record,2002 final AP poll,Record,2001 final AP poll,Record,2000 final AP poll,Record,1999 final AP poll,Record,1998 final AP poll,Record,1997 final AP poll,Record,
1,Alabama ,13-1,Clemson (60),14-1,Alabama (61),14-1,Ohio State (59),14-1,Florida State (60),14-0,Alabama (59),13-1,Alabama (55),12/1,Auburn (56),14-0,Alabama (60),14-0,Florida (48),13-1,Louisiana State (60),12/2,Florida (64),13-1,Texas (65),13-0,Southern Cal (62),13-0,Southern Cal (48),12/1,Ohio State (71),14-0,Miami Fla (72),12/1,Oklahoma (71),13-0,Florida St (70),12/1,Tennessee (70),13-0,Michigan (51½ ),12/1,
2,Georgia,13-3,Alabama,14-1,Clemson,14-1,Oregon,13-2,Auburn,12/2,Oregon,12/1,Louisiana State (1),13-1,Texas Christian,13-0,Texas,13-1,Utah (16),13-0,Georgia (3),11/2,Ohio State,12/1,Southern Cal,12/1,Auburn (1),13-0,Louisiana State (17),13-1,Miami-Florida,12/1,Oregon,11/1,Miami Fla,11/1,Virginia Tech,11/1,Ohio St.,11/1,Nebraska (18½ ),13-0,
3,Oklahoma,12/2,Southern Cal,10/3,Stanford,12/2,Texas Christian,12/1,Michigan State,13-1,Ohio State,12/1,Oklahoma State (4),12/1,Oregon,12/1,Florida,13-1,Southern Cal (1),12/1,Southern Cal (1),11/2,Louisiana St.,11/2,Penn State,11/1,Oklahoma,12/1,Oklahoma,12/2,Georgia,13-1,Florida,10/2,Washington,11/1,Nebraska,12/1,Florida St.,11/2,Florida St.,11/1,
4,Clemson,12/2,Washington,12/2,Ohio State,12/1,Alabama,12/2,South Carolina,11/2,Notre Dame,12/1,Oregon,12/2,Stanford,12/1,Boise State,14-0,Texas,12/1,Missouri,12/2,Southern Cal,11/2,Ohio State,10/2,Utah,12/1,Ohio State,11/2,Southern Cal,11/2,Tennessee,11/2,Oregon St,11/1,Wisconsin,10/2,Arizona,12/1,Florida,10/2,
5,Ohio State,12/2,Oklahoma,11/2,Oklahoma,11/2,Florida State,13-1,Missouri,12/2,Georgia,12/2,Arkansas,11/2,Ohio State,12/1,Ohio State,11/2,Oklahoma,12/2,Ohio State,11/2,Boise State (1),13-0,West Virginia,11/1,Texas,11/1,Miami-Florida,11/2,Oklahoma,12/2,Texas,11/2,Florida St,11/2,Michigan,10/2,Florida,10/1,UCLA,10/2,
6,Central Florida ,13-0,Ohio State,11/2,Michigan State,12/2,Michigan State,11/2,Oklahoma,11/2,Texas A&M,11/2,Southern Cal,10/2,Oklahoma,12/2,Texas Christian,12/1,Alabama,12/2,West Virginia,11/2,Louisville,12/1,Louisiana State,11/2,Louisville,11/1,Michigan,10/3,Texas,11/2,Oklahoma,11/2,Virginia Tech,11/1,Kansas St,11/1,Wisconsin,11/1,North Carolina,11/1,
7,Wisconsin,13-1,Penn State,11/3,Texas Christian,11/2,Baylor,11/2,Alabama,11/2,Stanford,12/2,Stanford,11/2,Wisconsin,11/2,Iowa,11/2,Texas Christian,11/2,Kansas (1),12/1,Wisconsin,12/1,Virginia Tech,11/2,Georgia,10/2,Georgia,11/3,Kansas State,11/2,LSU,10/3,Oregon,10/2,Michigan St,10/2,Tulane,12/1,Tennessee,11/2,
8,Penn State,11/2,Florida State,10/3,Houston,13-1,Georgia Tech,11/3,Clemson,11/2,South Carolina,11/2,Boise State,12/1,Louisiana State,11/2,Cincinnati,12/1,Penn State,11/2,Oklahoma,11/3,Michigan,11/2,Alabama,10/2,Iowa,10/2,Iowa,10/3,Iowa,11/2,Nebraska,11/2,Nebraska,10/2,Alabama,10/3,UCLA,10/2,Kansas St.,11/1,
9,Texas Christian,11/3,Wisconsin,11/3,Iowa,12/2,Georgia,10/3,Oregon,11/2,Florida,11/2,South Carolina,11/2,Boise State,12/1,Penn State,11/2,Ohio State,10/3,Virginia Tech,11/3,Auburn,11/2,Notre Dame,9/3,California,10/2,Washington State,10/3,Michigan,10/3,Colorado,10/3,Kansas St,11/3,Tennessee,9/3,Georgia Tech,10/2,Washington St.,10/2,
10,Auburn,10/4,Michigan,10/3,Mississippi,10/3,UCLA,10/3,Central Florida,12/1,Florida State,12/2,Wisconsin,11/3,Alabama,10/3,Virginia Tech,10/3,Oregon,10/3,Boston College,11/3,West Virginia,11/2,Georgia,10/3,Virginia Tech,10/3,Miami-Ohio,13-1,Washington St,10/3,Washington St,10/2,Florida,10/3,Marshall,13-0,Kansas State,11/2,Georgia,10/2,
11,Notre Dame,10/3,Oklahoma State,10/3,Notre Dame,10/3,Mississippi State,10/3,Stanford,11/3,Clemson,11/2,Michigan State,11/3,Nevada,13-1,Oregon,10/3,Boise State,12/1,Texas,10/3,Oklahoma,11/3,Texas Christian,11/1,Miami-Florida,9/3,Florida State,10/3,Alabama,10/3,Maryland,10/2,Michigan,9/3,Penn St,10/3,Texas A&M,10-4*,Auburn,10/3,
12,Southern Cal,11/3,Stanford,10/3,Michigan,10/3,Arizona State,10/3,Ohio State,12/2,Kansas State,11/2,Michigan,11/2,Arkansas,10/3,Brigham Young,11/2,Texas Tech,11/2,Tennessee,10/4,Rutgers,11/2,Florida,9/3,Boise State,11/1,Texas,10/3,North Carolina State,11/3,Illinois,10/2,Texas,9/3,Florida,9/4,Michigan,10/3,Ohio St.,10/3,
13,Miami-Florida,10/3,Louisiana State,8/4,Baylor,10/3,Wisconsin,11/3,Baylor,11/2,Louisville,11/2,Baylor,10/3,Oklahoma State,11/2,Georgia Tech,11/3,Georgia,10/3,Florida,9/4,Texas,10/3,Oregon,10/2,Tennessee,10/3,Mississippi,10/3,Maryland,11/3,South Carolina,9/3,Purdue,8/4,Mississippi St,10/2,Air Force,12/1,LSU,9/3,
14,Oklahoma State,10/3,Florida,9/4,Florida State,10/3,Missouri,11/3,Louisiana State,10/3,Louisiana State,10/3,Texas Christian,11/2,Michigan State,11/2,Nebraksa,10/4,Mississippi,9/4,Brigham Young,11/2,California,10/3,Auburn,9/3,Michigan,9/3,Kansas State,11/4,Auburn,9/4,Syracuse,10/3,Colorado St,10/2,So Mississippi,9/3,Georgia,9/3,Arizona St.,8/3,
15,Michigan State,10/3,Western Michigan,13-1,North Carolina,11/3,Clemson,10/3,Louisville,12/1,Oklahoma,10/3,Kansas State,10/3,Mississippi State,9/4,Pittsburgh,10/3,Virginia Tech,10/4,Auburn,9/4,Arkansas,10/4,Wisconsin,10/3,Florida State,9/3,Tennessee,10/3,Boise State,12/1,Florida St,8/4,Notre Dame,9/3,Miami Fla,9/4,Texas,9/3,Purdue,9/3,
16,Washington,10/3,Virginia Tech,10/4,Louisiana State,9/3,Boise State,12/2,UCLA,10/3,Utah State,11/2,Oklahoma,10/3,Virginia Tech,11/3,Wisconsin,10/3,Oklahoma State,9/4,Arizona State,10/3,Brigham Young,11/2,UCLA,10/2,Louisiana State,9/3,Boise State,13-1,Penn State,9/4,Stanford,9/3,Clemson,9/3,Georgia,8/4,Arkansas,9/3,Penn St.,9/3,
17,Northwestern,10/3,Colorado,10/4,Utah,10/3,Mississippi,9/4,Oklahoma State,10/3,Northwestern,10/3,West Virginia,10/3,Florida State,10/4,Louisiana State,9/4,Cincinnati,11/3,Cincinnati,10/3,Notre Dame,10/3,Miami-Florida,9/3,Wisconsin,9/3,Maryland,10/3,Notre Dame,10/3,Louisville,11/2,Georgia Tech,9/3,Arkansas,8/4,Penn State,9/3,Colorado St.,11/2,
18,Louisiana State,9/4,West Virginia,10/3,Navy,11/2,Kansas State,9/4,Texas A&M,9/4,Boise State,11/2,Houston,13-1,Missouri,10/3,Utah,10/3,Oregon State,9/4,Michigan,9/4,Wake Forest,11/3,Boston College,9/3,Texas Tech,8/4,Purdue,9/4,Virginia Tech,10/4,Virginia Tech,8/4,Auburn,9/4,Minnesota,8/4,Virginia,9/3,Washington,8/4,
19,Mississippi State,9/4,South Florida,11/2,Oregon,9/4,Arizona,10/4,Southern Cal,10/4,Texas,9/4,Georgia,10/4,Texas A&M,9/4,Miami-Florida,9/4,Missouri,10/4,Hawaii,12/1,Virginia Tech,10/3,Louisville,9/3,Arizona State,9/3,Nebraska,10/3,Pittsburgh,9/4,Washington,8/4,South Carolina,8/4,Oregon,9/3,Nebraska,9/4,Southern Miss.,9/3,
20,Stanford,9/5,Miami-Florida,9/4,Oklahoma State,10/3,Southern Cal,9/4,Notre Dame,9/4,Oregon State,9/4,Southern Miss,12/2,Nebraska,10/4,Mississippi,9/4,Iowa,9/4,Illinois,9/4,Boston College,10/3,Texas Tech,9/3,Ohio State,8/4,Minnesota,10/3,Colorado,9/5,Michigan,8/4,Georgia,8/4,Georgia Tech,8/4,Miami (Fla.),9/3,Texas A&M,9/4,
21,South Florida,10/2,Louisville,9/4,Wisconsin,10/3,Utah,9/4,Arizona State,10/4,San Jose State,11/2,Virginia Tech,11/3,Central Florida,11/3,Texas Tech,9/4,Florida State,9/4,Clemson,9/4,Oregon State,10/4,Clemson,8/4,Boston College,9/3,Utah,10/2,Florida State,9/5,Boston College,8/4,TCU,10/2,Texas,9/5,Missouri,8/4,Syracuse,9/4,
22,Boise State,11/3,Tennessee,9/4,Tennessee,9/4,Auburn,8/5,Wisconsin,9/4,Northern Illinois,12/2,Clemson,10/4,South Carolina,9/5,Southern Cal,9/4,Georgia Tech,9/4,Texas Tech,9/4,Texas Christian,11/2,Oklahoma,8/4,Fresno State,9/3,Clemson,9/4,Virginia,9/5,Georgia,8/4,LSU,8/4,Mississippi,8/4,Notre Dame,9/3,Mississippi,8/4,
23,North Carolina State,9/4,Utah,9/4,Northwestern,10/3,Marshall,13-1,Duke,10/4,Vanderbilt,9/4,Florida State,9/4,Maryland,9/4,Central Michigan,12/2,West Virginia,9/4,Oregon,9/4,Georgia,9/4,Florida State,8/5,Virginia,8/4,Bowling Green,11/3,Texas Christian,10/2,Toledo,10/2,Wisconsin,9/4,Texas A&M,8/4,Virginia Tech,9/3,Missouri,7/5,
24,Virginia Tech,9/4,Auburn,8/5,Western Kentucky,12/2,Louisville,9/4,Vanderbilt,9/4,Michigan,8/5,Nebraska,9/4,Tulsa,10/3,Clemson,9/5,Michigan State,9/4,Wisconsin,9/4,Penn State,9/4,Nebraska,8/4,Navy,10/2,Florida,8/5,Marshall,11/2,Georgia Tech,8/5,Mississippi St,8/4,Illinois,8/4,Purdue,9/4,Oklahoma St.,8/4,
25,Memphis,10/3,San Diego State,11/3,Florida,10/4,Memphis,10/3,Washington,9/4,Nebraska,10/4,Cincinnati,10/3,North Carolina State,9/4,West Virginia,9/4,Brigham Young,10/3,Oregon State,9/4,Tennessee,9/4,California,8/4,Pittsburgh,8/4,Texas Christian,11/2,West Virginia,9/4,,,Iowa St,9/3,Purdue,7/5,Syracuse,8/4,Georgia Tech,7/5,
